product,product_type,batch_id,farmid,quality_grade,origin,description,image,quantity,date
Turmeric,Cash Crop,LOT001,FARM101,Premium,Bihar,Turmeric harvested fresh from organic farms.,turmeric.jpg,567,2025-09-01
Banana,Fruit,LOT002,FARM102,Grade A,Haryana,Banana harvested fresh from organic farms.,banana.jpg,1882,2025-09-02
Coconut,Grain,LOT003,FARM103,Grade A,Uttar Pradesh,Coconut harvested fresh from organic farms.,coconut.jpg,1924,2025-09-03
Basmati Rice,Spice,LOT004,FARM104,Grade B,"Guntur, Andhra Pradesh",Basmati Rice harvested fresh from organic farms.,basmati_rice.jpg,1764,2025-09-04
Green Gram,Fruit,LOT005,FARM105,Premium,"Ratnagiri, Maharashtra",Green Gram harvested fresh from organic farms.,green_gram.jpg,1770,2025-09-05
Alphonso Mango,Vegetable,LOT006,FARM106,Grade A,Uttar Pradesh,Alphonso Mango harvested fresh from organic farms.,alphonso_mango.jpg,1081,2025-09-06
Basmati Rice,Oilseed,LOT007,FARM107,Grade A,Karnataka,Basmati Rice harvested fresh from organic farms.,basmati_rice.jpg,1831,2025-09-07
Red Chilli,Oilseed,LOT008,FARM108,Standard,"Punjab, India",Red Chilli harvested fresh from organic farms.,red_chilli.jpg,107,2025-09-08
Cotton,Spice,LOT009,FARM109,Grade B,Kerala,Cotton harvested fresh from organic farms.,cotton.jpg,68,2025-09-09
Sugarcane,Fruit,LOT010,FARM110,Premium,Kerala,Sugarcane harvested fresh from organic farms.,sugarcane.jpg,1461,2025-09-10
Sugarcane,Cash Crop,LOT011,FARM111,Grade A,Karnataka,Sugarcane harvested fresh from organic farms.,sugarcane.jpg,139,2025-09-11
Onion,Spice,LOT012,FARM112,Grade B,Madhya Pradesh,Onion harvested fresh from organic farms.,onion.jpg,747,2025-09-12
Red Chilli,Fruit,LOT013,FARM113,Grade B,Karnataka,Red Chilli harvested fresh from organic farms.,red_chilli.jpg,1685,2025-09-13
Green Gram,Cash Crop,LOT014,FARM114,Grade B,"Guntur, Andhra Pradesh",Green Gram harvested fresh from organic farms.,green_gram.jpg,514,2025-09-14
Wheat,Fruit,LOT015,FARM115,Grade B,Kerala,Wheat harvested fresh from organic farms.,wheat.jpg,808,2025-09-15
Basmati Rice,Grain,LOT016,FARM116,Premium,"Guntur, Andhra Pradesh",Basmati Rice harvested fresh from organic farms.,basmati_rice.jpg,1121,2025-09-16
Soybean,Spice,LOT017,FARM117,Grade B,Uttar Pradesh,Soybean harvested fresh from organic farms.,soybean.jpg,1246,2025-09-17
Onion,Fruit,LOT018,FARM118,Standard,Tamil Nadu,Onion harvested fresh from organic farms.,onion.jpg,1753,2025-09-18
Sugarcane,Fruit,LOT019,FARM119,Grade B,"Guntur, Andhra Pradesh",Sugarcane harvested fresh from organic farms.,sugarcane.jpg,189,2025-09-19
Mustard Seeds,Cash Crop,LOT020,FARM120,Premium,"Guntur, Andhra Pradesh",Mustard Seeds harvested fresh from organic farms.,mustard_seeds.jpg,1634,2025-09-20
Tomato,Cash Crop,LOT021,FARM121,Grade B,Haryana,Tomato harvested fresh from organic farms.,tomato.jpg,992,2025-09-21
Cotton,Oilseed,LOT022,FARM122,Grade B,Bihar,Cotton harvested fresh from organic farms.,cotton.jpg,741,2025-09-22
Red Chilli,Spice,LOT023,FARM123,Grade B,Madhya Pradesh,Red Chilli harvested fresh from organic farms.,red_chilli.jpg,1467,2025-09-23
Coconut,Vegetable,LOT024,FARM124,Premium,Bihar,Coconut harvested fresh from organic farms.,coconut.jpg,396,2025-09-24
Cotton,Fruit,LOT025,FARM125,Standard,Uttar Pradesh,Cotton harvested fresh from organic farms.,cotton.jpg,1464,2025-09-25
Basmati Rice,Vegetable,LOT026,FARM126,Standard,Uttar Pradesh,Basmati Rice harvested fresh from organic farms.,basmati_rice.jpg,707,2025-09-26
Soybean,Oilseed,LOT027,FARM127,Grade B,Haryana,Soybean harvested fresh from organic farms.,soybean.jpg,485,2025-09-27
Potato,Cash Crop,LOT028,FARM128,Grade A,Uttar Pradesh,Potato harvested fresh from organic farms.,potato.jpg,1994,2025-09-28
Soybean,Oilseed,LOT029,FARM129,Grade B,Kerala,Soybean harvested fresh from organic farms.,soybean.jpg,744,2025-09-29
Green Gram,Grain,LOT030,FARM130,Grade A,Uttar Pradesh,Green Gram harvested fresh from organic farms.,green_gram.jpg,1276,2025-09-30
Cotton,Oilseed,LOT031,FARM131,Standard,Tamil Nadu,Cotton harvested fresh from organic farms.,cotton.jpg,215,2025-10-01
Turmeric,Cash Crop,LOT032,FARM132,Grade A,Kerala,Turmeric harvested fresh from organic farms.,turmeric.jpg,1334,2025-10-02
